DATIM_Indicator_Category,facility,ward,subcounty,county,Datim_Facility_UID,DATIM_Disag_ID,DATIM_Disag_Name,datim_data
TX_CURR,Malaba Dispensary,Malaba Central Ward,Teso North Sub County,Busia County,XmZknqebhJ5, ,15+ | Female,7
TX_CURR,Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,XX7hDj6iz0D,15+ | Male,654
TX_CURR,Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,uURluLqPIJ5,<15 | Unknown Sex,2
TX_CURR,Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,uURluLqPIJ5,<15 | Unknown Sex,30
TX_CURR,Murang'a District Hospital,Township Ward,Kiharu Sub County,Muranga County,Xc7OTJXiWBF,Yf1BiWq71NE,15+ | Female,1567
TX_CURR,Ageng'a Dispensary (Samia),Ageng'a Nanguba Ward,Samia Sub County,Busia County,FXx0gjbN8Gh,Yf1BiWq71NE,15+ | Female,2
TX_CURR,Ageng'a Dispensary (Samia),Ageng'a Nanguba Ward,Samia Sub County,Busia County,FXx0gjbN8Gh,zHSL7ATXJib,<15 | Male,3
TX_CURR,Ageng'a Dispensary (Samia),Ageng'a Nanguba Ward,Samia Sub County,Busia County,FXx0gjbN8Gh,XX7hDj6iz0D,15+ | Male,16
TX_CURR,Ageng'a Dispensary (Samia),Ageng'a Nanguba Ward,Samia Sub County,Busia County,FXx0gjbN8Gh,uURluLqPIJ5,<15 | Unknown Sex,2
TX_CURR,Ageng'a Dispensary (Samia),Ageng'a Nanguba Ward,Samia Sub County,Busia County,FXx0gjbN8Gh,Yf1BiWq71NE,15+ | Female,52
TX_CURR,GK Prisons Dispensary (Turkana Central),Lodwar Township Ward,Turkana Central Sub County,Turkana County,Bexsf6i5wVY,Yf1BiWq71NE,15+ | Female,1
TX_CURR,GK Prisons Dispensary (Turkana Central),Lodwar Township Ward,Turkana Central Sub County,Turkana County,Bexsf6i5wVY,XX7hDj6iz0D,15+ | Male,38
TX_CURR,GK Prisons Dispensary (Turkana Central),Lodwar Township Ward,Turkana Central Sub County,Turkana County,Bexsf6i5wVY,Yf1BiWq71NE,15+ | Female,3
TX_CURR,Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,Yf1BiWq71NE,15+ | Female,16
TX_CURR,Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,XX7hDj6iz0D,15+ | Male,10
TX_CURR,Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,Yf1BiWq71NE,15+ | Female,47
TX_CURR,Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,chrwpNxHlQQ,<15 | Female,7
TX_CURR,Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,zHSL7ATXJib,<15 | Male,9
TX_CURR,Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,XX7hDj6iz0D,15+ | Male,12
TX_CURR,Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,XX7hDj6iz0D,15+ | Male,152
TX_CURR,Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,uURluLqPIJ5,<15 | Unknown Sex,1
TX_CURR,Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,uURluLqPIJ5,<15 | Unknown Sex,13
TX_CURR,Kenyenya Sub County Referral Hospital,Bokimonge Ward,Bomachoge Borabu Sub County,Kisii County,KWsVrpPKt61,Yf1BiWq71NE,15+ | Female,441
TX_CURR,Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,Yf1BiWq71NE,15+ | Female,19
TX_CURR,Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,XX7hDj6iz0D,15+ | Male,17
TX_CURR,Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,Yf1BiWq71NE,15+ | Female,33
TX_CURR,Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,chrwpNxHlQQ,<15 | Female,26
TX_CURR,Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,zHSL7ATXJib,<15 | Male,12
TX_CURR,Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,XX7hDj6iz0D,15+ | Male,18
TX_CURR,Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,XX7hDj6iz0D,15+ | Male,412
TX_CURR,Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,uURluLqPIJ5,<15 | Unknown Sex,17
TX_CURR,Njiru (EDARP) Clinic,Njiru Ward,Kasarani Sub County,Nairobi County,llrm6mgIoMS,Yf1BiWq71NE,15+ | Female,913
TX_CURR,Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,PhOQsQuOsFI,Yf1BiWq71NE,15+ | Female,1
TX_CURR,Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,PhOQsQuOsFI,Yf1BiWq71NE,15+ | Female,1
TX_CURR,Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,PhOQsQuOsFI,zHSL7ATXJib,<15 | Male,1
TX_CURR,Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,PhOQsQuOsFI,XX7hDj6iz0D,15+ | Male,9
TX_CURR,Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,PhOQsQuOsFI,uURluLqPIJ5,<15 | Unknown Sex,3
TX_CURR,Ebukanga Dispensary,West Bunyore Ward,Emuhaya Sub County,Vihiga County,PhOQsQuOsFI,Yf1BiWq71NE,15+ | Female,25
TX_CURR,Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,Yf1BiWq71NE,15+ | Female,2
TX_CURR,Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,Yf1BiWq71NE,15+ | Female,2
TX_CURR,Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,chrwpNxHlQQ,<15 | Female,9
TX_CURR,Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,zHSL7ATXJib,<15 | Male,3
TX_CURR,Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,XX7hDj6iz0D,15+ | Male,3
TX_CURR,Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,XX7hDj6iz0D,15+ | Male,25
TX_CURR,Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,uURluLqPIJ5,<15 | Unknown Sex,2
TX_CURR,Takaungu Dispensary,Mnarani Ward,Kilifi North Sub County,Kilifi County,DEvPbPrq8I1,Yf1BiWq71NE,15+ | Female,79
TX_CURR,Kaptabuk Dispensary,Lelan Ward,Pokot South Sub County,West Pokot County,ZXpAqMsZBO3,XX7hDj6iz0D,15+ | Male,1
TX_CURR,Kaptabuk Dispensary,Lelan Ward,Pokot South Sub County,West Pokot County,ZXpAqMsZBO3,XX7hDj6iz0D,15+ | Male,5
TX_CURR,Kaptabuk Dispensary,Lelan Ward,Pokot South Sub County,West Pokot County,ZXpAqMsZBO3,uURluLqPIJ5,<15 | Unknown Sex,3
TX_CURR,Kaptabuk Dispensary,Lelan Ward,Pokot South Sub County,West Pokot County,ZXpAqMsZBO3,Yf1BiWq71NE,15+ | Female,15
TX_CURR,Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,Yf1BiWq71NE,15+ | Female,1
TX_CURR,Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,XX7hDj6iz0D,15+ | Male,2
TX_CURR,Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,Yf1BiWq71NE,15+ | Female,12
TX_CURR,Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,chrwpNxHlQQ,<15 | Female,2
TX_CURR,Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,zHSL7ATXJib,<15 | Male,3
TX_CURR,Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,XX7hDj6iz0D,15+ | Male,2
TX_CURR,Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,XX7hDj6iz0D,15+ | Male,73
TX_CURR,Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,uURluLqPIJ5,<15 | Unknown Sex,8
TX_CURR,Bokole CDF Dispensary,Airport Ward,Changamwe Sub County,Mombasa County,KOLG3hC7MTt,Yf1BiWq71NE,15+ | Female,215
TX_CURR,Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,Yf1BiWq71NE,15+ | Female,34
TX_CURR,Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,XX7hDj6iz0D,15+ | Male,9
TX_CURR,Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,Yf1BiWq71NE,15+ | Female,52
TX_CURR,Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,chrwpNxHlQQ,<15 | Female,37
TX_CURR,Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,zHSL7ATXJib,<15 | Male,21
TX_CURR,Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,XX7hDj6iz0D,15+ | Male,19
TX_CURR,Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,XX7hDj6iz0D,15+ | Male,398
TX_CURR,Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,uURluLqPIJ5,<15 | Unknown Sex,47
TX_CURR,Olps Clinic,Kolwa Central Ward,Kisumu East Sub County,Kisumu County,buRUYwNs6zv,Yf1BiWq71NE,15+ | Female,832
TX_CURR,Nairobi South Clinic,Nairobi South Ward,Starehe Sub County,Nairobi County,HYalSbxDtup,XX7hDj6iz0D,15+ | Male,2
TX_CURR,Nairobi South Clinic,Nairobi South Ward,Starehe Sub County,Nairobi County,HYalSbxDtup,Yf1BiWq71NE,15+ | Female,5
TX_CURR,Nairobi South Clinic,Nairobi South Ward,Starehe Sub County,Nairobi County,HYalSbxDtup,XX7hDj6iz0D,15+ | Male,18
TX_CURR,Nairobi South Clinic,Nairobi South Ward,Starehe Sub County,Nairobi County,HYalSbxDtup,uURluLqPIJ5,<15 | Unknown Sex,3
TX_CURR,Nairobi South Clinic,Nairobi South Ward,Starehe Sub County,Nairobi County,HYalSbxDtup,Yf1BiWq71NE,15+ | Female,62
TX_CURR,Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,Yf1BiWq71NE,15+ | Female,5
TX_CURR,Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,XX7hDj6iz0D,15+ | Male,3
TX_CURR,Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,Yf1BiWq71NE,15+ | Female,5
TX_CURR,Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,chrwpNxHlQQ,<15 | Female,2
TX_CURR,Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,zHSL7ATXJib,<15 | Male,3
TX_CURR,Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,XX7hDj6iz0D,15+ | Male,1
TX_CURR,Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,XX7hDj6iz0D,15+ | Male,52
TX_CURR,Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,uURluLqPIJ5,<15 | Unknown Sex,7
TX_CURR,Mukunike Dispensary,Kangundo West Ward,Kangundo Sub County,Machakos County,o08fZHQUoMX,Yf1BiWq71NE,15+ | Female,130
TX_CURR,Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,Yf1BiWq71NE,15+ | Female,3
TX_CURR,Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,XX7hDj6iz0D,15+ | Male,1
TX_CURR,Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,Yf1BiWq71NE,15+ | Female,2
TX_CURR,Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,chrwpNxHlQQ,<15 | Female,2
TX_CURR,Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,zHSL7ATXJib,<15 | Male,3
TX_CURR,Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,XX7hDj6iz0D,15+ | Male,3
TX_CURR,Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,XX7hDj6iz0D,15+ | Male,22
TX_CURR,Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,uURluLqPIJ5,<15 | Unknown Sex,4
TX_CURR,Kyambeke Health Centre,Ilima Ward,Kaiti Sub County,Makueni County,jHtaGMSzHAb,Yf1BiWq71NE,15+ | Female,74
TX_CURR,Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,kXBSnkwE6nH,XX7hDj6iz0D,15+ | Male,1
TX_CURR,Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,kXBSnkwE6nH,Yf1BiWq71NE,15+ | Female,
TX_CURR,Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,kXBSnkwE6nH,zHSL7ATXJib,<15 | Male,2
TX_CURR,Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,kXBSnkwE6nH,XX7hDj6iz0D,15+ | Male,24
TX_CURR,Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,kXBSnkwE6nH,uURluLqPIJ5,<15 | Unknown Sex,5
TX_CURR,Eshu Dispensary,Ramisi Ward,Msambweni Sub County,Kwale County,kXBSnkwE6nH,Yf1BiWq71NE,15+ | Female,26
TX_CURR,Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,Yf1BiWq71NE,15+ | Female,57
TX_CURR,Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,XX7hDj6iz0D,15+ | Male,22
TX_CURR,Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,Yf1BiWq71NE,15+ | Female,50
TX_CURR,Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,chrwpNxHlQQ,<15 | Female,35
TX_CURR,Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,zHSL7ATXJib,<15 | Male,34
TX_CURR,Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,XX7hDj6iz0D,15+ | Male,38
TX_CURR,Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,XX7hDj6iz0D,15+ | Male,516
TX_CURR,Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,uURluLqPIJ5,<15 | Unknown Sex,45
TX_CURR,Makindu Sub County Hospital,Makindu Ward,Kibwezi West Sub County,Makueni County,jygWzwe5HPd,Yf1BiWq71NE,15+ | Female,1298
TX_CURR,Orongo Dispensary,Kolwa East Ward,Kisumu East Sub County,Kisumu County,KFIERM0kOZC,Yf1BiWq71NE,15+ | Female,1
TX_CURR,Orongo Dispensary,Kolwa East Ward,Kisumu East Sub County,Kisumu County,KFIERM0kOZC,Yf1BiWq71NE,15+ | Female,9
TX_CURR,Orongo Dispensary,Kolwa East Ward,Kisumu East Sub County,Kisumu County,KFIERM0kOZC,XX7hDj6iz0D,15+ | Male,13
TX_CURR,Orongo Dispensary,Kolwa East Ward,Kisumu East Sub County,Kisumu County,KFIERM0kOZC,Yf1BiWq71NE,15+ | Female,10
TX_CURR,Salawa Health Centre,Kabarnet Ward,Baringo Central Sub County,Baringo County,ILFbV5BZSYd,XX7hDj6iz0D,15+ | Male,2
TX_CURR,Salawa Health Centre,Kabarnet Ward,Baringo Central Sub County,Baringo County,ILFbV5BZSYd,Yf1BiWq71NE,15+ | Female,11
TX_CURR,Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,MACAPlJcg0V,Yf1BiWq71NE,15+ | Female,1
TX_CURR,Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,MACAPlJcg0V,chrwpNxHlQQ,<15 | Female,1
TX_CURR,Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,MACAPlJcg0V,zHSL7ATXJib,<15 | Male,2
TX_CURR,Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,MACAPlJcg0V,XX7hDj6iz0D,15+ | Male,3
TX_CURR,Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,MACAPlJcg0V,XX7hDj6iz0D,15+ | Male,9
TX_CURR,Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,MACAPlJcg0V,uURluLqPIJ5,<15 | Unknown Sex,4
TX_CURR,Kishushe Dispensary,Wumingu/Kishushe Ward,Wundanyi Sub County,Taita Taveta County,MACAPlJcg0V,Yf1BiWq71NE,15+ | Female,16
TX_CURR,Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,Acz9X8qvbtP,Yf1BiWq71NE,15+ | Female,4
TX_CURR,Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,Acz9X8qvbtP,Yf1BiWq71NE,15+ | Female,8
TX_CURR,Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,Acz9X8qvbtP,chrwpNxHlQQ,<15 | Female,1
TX_CURR,Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,Acz9X8qvbtP,zHSL7ATXJib,<15 | Male,6
TX_CURR,Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,Acz9X8qvbtP,XX7hDj6iz0D,15+ | Male,47
TX_CURR,Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,Acz9X8qvbtP,uURluLqPIJ5,<15 | Unknown Sex,7
TX_CURR,Gatimbi Health Centre,Abothuguchi Central Ward,Imenti Central Sub County,Meru County,Acz9X8qvbtP,Yf1BiWq71NE,15+ | Female,108
TX_CURR,AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,Yf1BiWq71NE,15+ | Female,41
TX_CURR,AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,XX7hDj6iz0D,15+ | Male,22
TX_CURR,AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,Yf1BiWq71NE,15+ | Female,51
TX_CURR,AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,chrwpNxHlQQ,<15 | Female,25
TX_CURR,AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,zHSL7ATXJib,<15 | Male,26
TX_CURR,AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,XX7hDj6iz0D,15+ | Male,38
TX_CURR,AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,XX7hDj6iz0D,15+ | Male,389
TX_CURR,AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,uURluLqPIJ5,<15 | Unknown Sex,30
TX_CURR,AIC Litein Mission Hospital,Litein Ward,Bureti Sub County,Kericho County,twSsunns9Ky,Yf1BiWq71NE,15+ | Female,859
TX_CURR,Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,Yf1BiWq71NE,15+ | Female,13
TX_CURR,Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,XX7hDj6iz0D,15+ | Male,6
TX_CURR,Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,Yf1BiWq71NE,15+ | Female,19
TX_CURR,Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,chrwpNxHlQQ,<15 | Female,11
TX_CURR,Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,zHSL7ATXJib,<15 | Male,7
TX_CURR,Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,XX7hDj6iz0D,15+ | Male,9
TX_CURR,Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,XX7hDj6iz0D,15+ | Male,176
TX_CURR,Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,uURluLqPIJ5,<15 | Unknown Sex,14
TX_CURR,Likuyani Sub-County Hospital,Likuyani Ward,Likuyani Sub County,Kakamega County,T5awNzefJtf,Yf1BiWq71NE,15+ | Female,330
TX_CURR,Oriang (SDA) Health Centre,Central Ward,Karachuonyo Sub County,Homa Bay County,n7tuDSPEHow,Yf1BiWq71NE,15+ | Female,8
TX_CURR,Oriang (SDA) Health Centre,Central Ward,Karachuonyo Sub County,Homa Bay County,n7tuDSPEHow,XX7hDj6iz0D,15+ | Male,2
TX_CURR,Oriang (SDA) Health Centre,Central Ward,Karachuonyo Sub County,Homa Bay County,n7tuDSPEHow,Yf1BiWq71NE,15+ | Female,21
TX_CURR,Oriang (SDA) Health Centre,Central Ward,Karachuonyo Sub County,Homa Bay County,n7tuDSPEHow,chrwpNxHlQQ,<15 | Female,3
TX_CURR,Oriang (SDA) Health Centre,Central Ward,Karachuonyo Sub County,Homa Bay County,n7tuDSPEHow,zHSL7ATXJib,<15 | Male,5
TX_CURR,Oriang (SDA) Health Centre,Central Ward,Karachuonyo Sub County,Homa Bay County,n7tuDSPEHow,XX7hDj6iz0D,15+ | Male,5
TX_CURR,Oriang (SDA) Health Centre,Central Ward,Karachuonyo Sub County,Homa Bay County,n7tuDSPEHow,XX7hDj6iz0D,15+ | Male,65
TX_CURR,Oriang (SDA) Health Centre,Central Ward,Karachuonyo Sub County,Homa Bay County,n7tuDSPEHow,uURluLqPIJ5,<15 | Unknown Sex,5
